CourtID,CourtName,DistrictID,StateID,Active
1,"Principal District & Sessions Court, Bagalkot",1,1,1
2,"JMFC Court, Bagalkot",1,1,1
3,"Principal District & Sessions Court, Ballari",2,1,1
4,"JMFC Court, Ballari",2,1,1
5,"Principal District & Sessions Court, Belagavi",3,1,1
6,"JMFC Court, Belagavi",3,1,1
7,"Special POCSO Court, Belagavi",3,1,1
8,"Special NDPS Court, Belagavi",3,1,1
9,"Principal District & Sessions Court, Bengaluru Rural",4,1,1
10,"JMFC Court, Devanahalli",4,1,1
11,"Principal District & Sessions Court, Bengaluru Urban",5,1,1
12,"JMFC Court, Bengaluru",5,1,1
13,"Special POCSO Court, Bengaluru",5,1,1
14,"Special NDPS Court, Bengaluru",5,1,1
15,"Principal District & Sessions Court, Bidar",6,1,1
16,"JMFC Court, Bidar",6,1,1
17,"Principal District & Sessions Court, Chamarajanagar",7,1,1
18,"JMFC Court, Chamarajanagar",7,1,1
19,"Principal District & Sessions Court, Chikkaballapur",8,1,1
20,"JMFC Court, Chikkaballapur",8,1,1
21,"Principal District & Sessions Court, Chikkamagaluru",9,1,1
22,"JMFC Court, Chikkamagaluru",9,1,1
23,"Principal District & Sessions Court, Chitradurga",10,1,1
24,"JMFC Court, Chitradurga",10,1,1
25,"Principal District & Sessions Court, Dakshina Kannada",11,1,1
26,"JMFC Court, Mangaluru",11,1,1
27,"Special POCSO Court, Mangaluru",11,1,1
28,"Special NDPS Court, Mangaluru",11,1,1
29,"Principal District & Sessions Court, Davanagere",12,1,1
30,"JMFC Court, Davanagere",12,1,1
31,"Principal District & Sessions Court, Dharwad",13,1,1
32,"JMFC Court, Dharwad",13,1,1
33,"Principal District & Sessions Court, Gadag",14,1,1
34,"JMFC Court, Gadag",14,1,1
35,"Principal District & Sessions Court, Hassan",15,1,1
36,"JMFC Court, Hassan",15,1,1
37,"Principal District & Sessions Court, Haveri",16,1,1
38,"JMFC Court, Haveri",16,1,1
39,"Principal District & Sessions Court, Kalaburagi",17,1,1
40,"JMFC Court, Kalaburagi",17,1,1
41,"Special POCSO Court, Kalaburagi",17,1,1
42,"Special NDPS Court, Kalaburagi",17,1,1
43,"Principal District & Sessions Court, Kodagu",18,1,1
44,"JMFC Court, Madikeri",18,1,1
45,"Principal District & Sessions Court, Kolar",19,1,1
46,"JMFC Court, Kolar",19,1,1
47,"Principal District & Sessions Court, Koppal",20,1,1
48,"JMFC Court, Koppal",20,1,1
49,"Principal District & Sessions Court, Mandya",21,1,1
50,"JMFC Court, Mandya",21,1,1
51,"Principal District & Sessions Court, Mysuru",22,1,1
52,"JMFC Court, Mysuru",22,1,1
53,"Special POCSO Court, Mysuru",22,1,1
54,"Special NDPS Court, Mysuru",22,1,1
55,"Principal District & Sessions Court, Raichur",23,1,1
56,"JMFC Court, Raichur",23,1,1
57,"Principal District & Sessions Court, Ramanagara",24,1,1
58,"JMFC Court, Ramanagara",24,1,1
59,"Principal District & Sessions Court, Shivamogga",25,1,1
60,"JMFC Court, Shivamogga",25,1,1
61,"Principal District & Sessions Court, Tumakuru",26,1,1
62,"JMFC Court, Tumakuru",26,1,1
63,"Principal District & Sessions Court, Udupi",27,1,1
64,"JMFC Court, Udupi",27,1,1
65,"Principal District & Sessions Court, Uttara Kannada",28,1,1
66,"JMFC Court, Karwar",28,1,1
67,"Principal District & Sessions Court, Vijayapura",29,1,1
68,"JMFC Court, Vijayapura",29,1,1
69,"Principal District & Sessions Court, Yadgir",30,1,1
70,"JMFC Court, Yadgir",30,1,1
71,"Principal District & Sessions Court, Vijayanagara",31,1,1
72,"JMFC Court, Hosapete",31,1,1
